Neighborhood,Neighborhood Location,Venue,Venue Location,Venue Category,Summary
"Rouge, Malvern","(43.806686299999996, -79.19435340000001)",Wendy's,"(43.80744841934756, -79.19905558052072)",Fast Food Restaurant,This spot is popular
"Highland Creek, Rouge Hill, Port Union","(43.78453510000001, -79.16049709999999)",Royal Canadian Legion,"(43.78253332838298, -79.16308473261682)",Bar,This spot is popular
"Guildwood, Morningside, West Hill","(43.7635726, -79.1887115)",Swiss Chalet Rotisserie & Grill,"(43.76769708292701, -79.1899135003439)",Pizza Place,This spot is popular
"Guildwood, Morningside, West Hill","(43.7635726, -79.1887115)",G & G Electronics,"(43.765309, -79.191537)",Electronics Store,This spot is popular
"Guildwood, Morningside, West Hill","(43.7635726, -79.1887115)",Big Bite Burrito,"(43.766299084470795, -79.19071980583941)",Mexican Restaurant,This spot is popular
"Guildwood, Morningside, West Hill","(43.7635726, -79.1887115)",chatr Mobile,"(43.765917, -79.191672)",Tech Startup,This spot is popular
"Guildwood, Morningside, West Hill","(43.7635726, -79.1887115)",Enterprise Rent-A-Car,"(43.7640757, -79.1934057)",Rental Car Location,This spot is popular
"Guildwood, Morningside, West Hill","(43.7635726, -79.1887115)",Woburn Medical Centre,"(43.766631153138455, -79.19228553771973)",Medical Center,This spot is popular
"Guildwood, Morningside, West Hill","(43.7635726, -79.1887115)",Eggsmart,"(43.7678, -79.190466)",Breakfast Spot,This spot is popular
Woburn,"(43.7709921, -79.21691740000001)",Starbucks,"(43.770037201625215, -79.22115586641958)",Coffee Shop,This spot is popular
Woburn,"(43.7709921, -79.21691740000001)",Tim Hortons,"(43.7708270725628, -79.22307810384153)",Coffee Shop,This spot is popular
Woburn,"(43.7709921, -79.21691740000001)",Korean Grill House,"(43.7708117291354, -79.21450208834013)",Korean Restaurant,This spot is popular
Cedarbrae,"(43.773136, -79.23947609999998)",Federick Restaurant,"(43.77469659057996, -79.24114242818267)",Hakka Restaurant,This spot is popular
Cedarbrae,"(43.773136, -79.23947609999998)",Drupati's Roti & Doubles,"(43.775222138791534, -79.24167761001029)",Caribbean Restaurant,This spot is popular
Cedarbrae,"(43.773136, -79.23947609999998)",Thai One On,"(43.77446763641413, -79.24126833717742)",Thai Restaurant,This spot is popular
Cedarbrae,"(43.773136, -79.23947609999998)",Centennial Recreation Centre,"(43.77459330890341, -79.23649962433035)",Athletics & Sports,This spot is popular
Cedarbrae,"(43.773136, -79.23947609999998)",TD Canada Trust,"(43.77495189482367, -79.24134314060211)",Bank,This spot is popular
Cedarbrae,"(43.773136, -79.23947609999998)",B&A Bakery,"(43.77439074389114, -79.24387684648542)",Bakery,This spot is popular
Cedarbrae,"(43.773136, -79.23947609999998)",Popeyes Louisiana Kitchen,"(43.7759298356196, -79.23532833470263)",Fried Chicken Joint,This spot is popular
Scarborough Village,"(43.7447342, -79.23947609999998)",McCowan Park,"(43.74508851212816, -79.239335687338)",Playground,This spot is popular
Scarborough Village,"(43.7447342, -79.23947609999998)",Canada Edge Marketers Corporation,"(43.7416801, -79.2370605)",Women's Store,This spot is popular
"East Birchmount Park, Ionview, Kennedy Park","(43.7279292, -79.26202940000002)",Giant Tiger,"(43.72744662939136, -79.26624035854763)",Department Store,This spot is popular
"East Birchmount Park, Ionview, Kennedy Park","(43.7279292, -79.26202940000002)",Tim Hortons,"(43.72689508691926, -79.26615692675114)",Coffee Shop,This spot is popular
"East Birchmount Park, Ionview, Kennedy Park","(43.7279292, -79.26202940000002)",Bros. CONVENIENCE,"(43.72778143829621, -79.26570835903846)",Convenience Store,This spot is popular
"East Birchmount Park, Ionview, Kennedy Park","(43.7279292, -79.26202940000002)",Dollarama,"(43.72690439744201, -79.26588589287013)",Discount Store,This spot is popular
"East Birchmount Park, Ionview, Kennedy Park","(43.7279292, -79.26202940000002)",Tandy Leather,"(43.7269737868054, -79.26651349240451)",Hobby Shop,This spot is popular
"East Birchmount Park, Ionview, Kennedy Park","(43.7279292, -79.26202940000002)",Kennedy GO Station,"(43.73227476873184, -79.26241750386065)",Train Station,This spot is popular
"East Birchmount Park, Ionview, Kennedy Park","(43.7279292, -79.26202940000002)",Dollarama,"(43.72659620252377, -79.26682995710473)",Discount Store,This spot is popular
"East Birchmount Park, Ionview, Kennedy Park","(43.7279292, -79.26202940000002)",Kennedy Station Passenger Pickup,"(43.73200926072711, -79.26453709017373)",Bus Station,This spot is popular
"Clairlea, Golden Mile, Oakridge","(43.711111700000004, -79.2845772)",Dairy Queen,"(43.71037770465013, -79.29070115089417)",Fast Food Restaurant,This spot is popular
"Clairlea, Golden Mile, Oakridge","(43.711111700000004, -79.2845772)",Warden Ave & St. Clair Ave E,"(43.71205669347002, -79.28100496530533)",Intersection,This spot is popular
"Clairlea, Golden Mile, Oakridge","(43.711111700000004, -79.2845772)",TTC Bus #68 Warden,"(43.71177810997778, -79.27971412913774)",Bus Line,This spot is popular
"Clairlea, Golden Mile, Oakridge","(43.711111700000004, -79.2845772)",TTC Bus 102 Markham Road,"(43.711381420906115, -79.27958752636661)",Bus Line,This spot is popular
"Clairlea, Golden Mile, Oakridge","(43.711111700000004, -79.2845772)",Warden Station Bus Loop,"(43.71124084776515, -79.27957605867647)",Bus Station,This spot is popular
"Clairlea, Golden Mile, Oakridge","(43.711111700000004, -79.2845772)",Bakery On The Go,"(43.711270905205765, -79.27950587661704)",Bakery,This spot is popular
"Clairlea, Golden Mile, Oakridge","(43.711111700000004, -79.2845772)",Cafe on the go,"(43.71115104374148, -79.27946923512921)",Bakery,This spot is popular
"Clairlea, Golden Mile, Oakridge","(43.711111700000004, -79.2845772)",Clairlea Futbol Centre,"(43.71523429184505, -79.28650639185544)",Soccer Field,This spot is popular
"Cliffcrest, Cliffside, Scarborough Village West","(43.716316, -79.23947609999998)",Have A Nap Motel,"(43.718256, -79.240135)",Motel,This spot is popular
"Cliffcrest, Cliffside, Scarborough Village West","(43.716316, -79.23947609999998)",Vincent's Spot,"(43.71700152544261, -79.24235338465942)",American Restaurant,This spot is popular
"Cliffcrest, Cliffside, Scarborough Village West","(43.716316, -79.23947609999998)",eastville,"(43.71681533169394, -79.23603703506208)",Skating Rink,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Downtown Toronto,"(43.65323167517444, -79.38529600606677)",Neighborhood,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Nathan Phillips Square,"(43.65227047322295, -79.38351631164551)",Plaza,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Eggspectation Bell Trinity Square,"(43.65314383888587, -79.38198016678167)",Breakfast Spot,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Indigo,"(43.65351471121164, -79.38069591056922)",Bookstore,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Old City Hall,"(43.652008800876125, -79.3817442232328)",Monument / Landmark,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",CF Toronto Eaton Centre,"(43.65414829177793, -79.38063889404071)",Shopping Mall,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Bannock,"(43.652101173138405, -79.38117828399939)",Restaurant,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",LUSH,"(43.653557, -79.3804)",Cosmetics Shop,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Apple Eaton Centre,"(43.652823, -79.380615)",Electronics Store,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",M Square Coffee Co,"(43.65121797253777, -79.38355459932247)",Coffee Shop,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Noodle King,"(43.65170632794881, -79.38304628912547)",Asian Restaurant,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Japango,"(43.65526771691681, -79.38516506734886)",Sushi Restaurant,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Urban Herbivore,"(43.65497185575342, -79.38085556030273)",Vegetarian / Vegan Restaurant,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Hudson's Bay,"(43.652039815876805, -79.38039146122816)",Department Store,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Bell Trinity Square,"(43.65347479872822, -79.38246987630343)",Office,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Crepe Delicious,"(43.654536488277245, -79.38088885547485)",Food Court,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",SEPHORA,"(43.65356, -79.380022)",Cosmetics Shop,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Roots,"(43.65361341708363, -79.38024401664734)",Clothing Store,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Textile Museum of Canada,"(43.65439630500274, -79.38650010906946)",Art Museum,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Nordstrom,"(43.655041, -79.3809665)",Clothing Store,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Chatime 日出茶太,"(43.65554164147378, -79.38468427043244)",Bubble Tea Shop,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",John & Sons Oyster House,"(43.65065642537144, -79.38161285228475)",Seafood Restaurant,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Trattoria Mercatto,"(43.65445314470199, -79.3809741075674)",Italian Restaurant,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Richmond Station,"(43.65156872562108, -79.37926594000328)",American Restaurant,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Ed Mirvish Theatre,"(43.655101567321054, -79.37976762131545)",Theater,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",UNIQLO ユニクロ,"(43.65591027779457, -79.38064099181345)",Clothing Store,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Elgin And Winter Garden Theatres,"(43.653393796019586, -79.3785073962175)",Theater,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Massey Hall,"(43.654194704753934, -79.37889126670004)",Concert Hall,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Four Seasons Centre for the Performing Arts,"(43.65060862138792, -79.38627956459021)",Concert Hall,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Estiatorio Volos,"(43.65032912559998, -79.38453301297716)",Greek Restaurant,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Disney store,"(43.654248, -79.381232)",Toy / Game Store,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Assembly Chef's Hall,"(43.650578865093934, -79.3834119303614)",Food Court,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Tsujiri,"(43.65537430780922, -79.38535434742991)",Tea Room,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",JOEY Eaton Centre,"(43.65540379999999, -79.38192889999999)",Restaurant,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Poke Guys,"(43.65489527525682, -79.38505238381624)",Poke Place,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Sansotei Ramen 三草亭,"(43.655157467561246, -79.38650067479335)",Ramen Restaurant,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",GoodLife Fitness,"(43.65374320109676, -79.3827049601948)",Gym,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",The Gabardine,"(43.65098801064232, -79.38122513218154)",American Restaurant,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",The Keg Steakhouse & Bar,"(43.649937252985254, -79.38419604942506)",Steakhouse,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",JOEY,"(43.6560936540828, -79.38187792357716)",American Restaurant,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",HomeSense,"(43.6531866401305, -79.3792368471621)",Furniture / Home Store,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Yonge-Dundas Square,"(43.65612487281648, -79.38062239854047)",Plaza,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Red Lobster,"(43.656328, -79.383621)",Seafood Restaurant,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",MUJI,"(43.656024, -79.383284)",Miscellaneous Shop,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",TOPSHOP,"(43.65225092432807, -79.3802210071282)",Women's Store,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Hollister Co.,"(43.654479660102204, -79.38091371769396)",Clothing Store,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Magic Tailor,"(43.65374158228865, -79.37974523881418)",Clothing Store,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",The Chase,"(43.650951982093595, -79.37942201983014)",New American Restaurant,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Boxcar Social Temperance,"(43.65055725249405, -79.38195634640063)",Bar,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",The 3 Brewers,"(43.655474284721, -79.38041324445061)",Beer Bar,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Topman,"(43.652281488745565, -79.38001554865625)",Clothing Store,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Tangerine Café,"(43.653936903308185, -79.37972202364307)",Bank,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",GoodLife Fitness,"(43.65113563166627, -79.37879687835455)",Gym,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Ted Baker London,"(43.65284284567131, -79.38032491863406)",Clothing Store,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Victoria's Secret PINK,"(43.65335746417248, -79.3806734813237)",Lingerie Store,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",DAVIDsTEA,"(43.65658619027106, -79.38116704725516)",Tea Room,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Silver Snail Comics,"(43.65703137958407, -79.38140310220501)",Comic Shop,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Solei Tanning Salon,"(43.654734082347616, -79.38024826065258)",Tanning Salon,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Victoria's Secret,"(43.65320588119187, -79.38052200729167)",Lingerie Store,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Blaze Pizza,"(43.656518, -79.380015)",Pizza Place,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Eaton Centre Fountain,"(43.65366112275937, -79.37978736281504)",Plaza,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Cactus Club Cafe,"(43.6495520142626, -79.38167072512041)",American Restaurant,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Canadian Opera Company,"(43.6506601893789, -79.38624169559013)",Opera House,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Dineen Coffee,"(43.650497, -79.378765)",Café,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Cineplex Cinemas Yonge-Dundas,"(43.65612555948613, -79.38039005666784)",Movie Theater,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Adelaide Club Toronto,"(43.64927944291712, -79.38192123284551)",Gym / Fitness Center,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",deKEFIR,"(43.65043319523819, -79.37939324949957)",Ice Cream Shop,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Hy's Steakhouse,"(43.649504756476944, -79.38291850488223)",Steakhouse,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Yueh Tung Chinese Restaurant,"(43.655281263429195, -79.3853365267765)",Chinese Restaurant,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Butter Baker,"(43.65566927096165, -79.3842978108375)",Bakery,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",The Queen and Beaver Public House,"(43.65747228208784, -79.38352412327917)",Gastropub,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",GB Hand-Pulled Noodles,"(43.65643422548463, -79.3837827356398)",Chinese Restaurant,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Toronto PATH System,"(43.64990340698978, -79.3830527039004)",General Travel,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Oakley,"(43.65260499198973, -79.38021406157802)",Accessories Store,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Paramount Fine Foods,"(43.65502870847598, -79.38024513018975)",Middle Eastern Restaurant,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Aroma Espresso Bar,"(43.65446155341208, -79.38090841333593)",Coffee Shop,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",The Senator Restaurant,"(43.65564091455335, -79.37919882575557)",Diner,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Nordstrom Ebar,"(43.654648676831954, -79.38057377013143)",Coffee Shop,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Rosalinda,"(43.650252483069295, -79.38515575620075)",Vegetarian / Vegan Restaurant,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Cambridge Suites Toronto,"(43.65183649475983, -79.37810738045548)",Hotel,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Uncle Tetsu's Japanese Angel Cafe,"(43.655001311444025, -79.38689900686445)",Café,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Bourbon St. Grill,"(43.6551351410162, -79.3808225262395)",Fast Food Restaurant,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",DAVIDsTEA,"(43.65506981949658, -79.38059022205873)",Tea Room,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Starbucks,"(43.653707965659, -79.37978782931185)",Coffee Shop,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Uncle Tetsu's Cheesecake (Uncle Tetsu's Japanese Cheesecake),"(43.65606287245643, -79.38369472446465)",Dessert Shop,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Leña,"(43.65175078455427, -79.37902076748435)",Latin American Restaurant,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Sweet Lulu,"(43.65055650489936, -79.38117543224395)",Asian Restaurant,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Booster Juice,"(43.65265752, -79.37845927)",Smoothie Shop,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Sud Forno,"(43.65093965733832, -79.37904545824371)",Bakery,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Hilton Toronto,"(43.64985232228859, -79.38557624816895)",Hotel,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Sunset Grill,"(43.65166162378037, -79.3790751303271)",Breakfast Spot,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",The Black Canary Espresso Bar,"(43.65702925121356, -79.38138512728051)",Café,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Hilton Toronto Executive Lounge,"(43.650363125865155, -79.38580184119992)",Breakfast Spot,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Vans,"(43.654825509733335, -79.38024076741966)",Shoe Store,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Nota Bene,"(43.6505120350372, -79.38813081159722)",American Restaurant,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Chipotle Mexican Grill,"(43.65648501759579, -79.38094490841218)",Mexican Restaurant,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Momofuku Noodle Bar,"(43.6493658716176, -79.38621652451032)",Noodle House,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Ruth's Chris Steak House,"(43.6499174, -79.3857238)",Steakhouse,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Reds Wine Tavern,"(43.64957038171473, -79.38212873483711)",Gastropub,This spot is popular
"Birch Cliff, Cliffside West","(43.653226000000004, -79.3831843)",Jazz Bistro,"(43.65567828473835, -79.37927565514764)",Music Venue,This spot is popular
"Dorset Park, Scarborough Town Centre, Wexford Heights","(43.7574096, -79.27330400000001)",Kairali,"(43.75476837158203, -79.2771987915039)",Indian Restaurant,This spot is popular
"Dorset Park, Scarborough Town Centre, Wexford Heights","(43.7574096, -79.27330400000001)",Kim Kim restaurant,"(43.75383283792732, -79.27661122245037)",Chinese Restaurant,This spot is popular
"Dorset Park, Scarborough Town Centre, Wexford Heights","(43.7574096, -79.27330400000001)",El Pulgarcito,"(43.754789900822274, -79.2770639581697)",Latin American Restaurant,This spot is popular
"Dorset Park, Scarborough Town Centre, Wexford Heights","(43.7574096, -79.27330400000001)",Karaikudi Chettinad South Indian Restaurant,"(43.756041539453136, -79.27627591942013)",Indian Restaurant,This spot is popular
"Dorset Park, Scarborough Town Centre, Wexford Heights","(43.7574096, -79.27330400000001)",Big Al's Pet Supercentre,"(43.75927894411595, -79.27832544749343)",Pet Store,This spot is popular
"Dorset Park, Scarborough Town Centre, Wexford Heights","(43.7574096, -79.27330400000001)",Pho Vietnam,"(43.757770305647185, -79.27857193068989)",Vietnamese Restaurant,This spot is popular
"Maryvale, Wexford","(43.750071500000004, -79.2958491)",Wexford Restaurant,"(43.7460300445972, -79.29384330907153)",Breakfast Spot,This spot is popular
"Maryvale, Wexford","(43.750071500000004, -79.2958491)",Subway,"(43.746007572548756, -79.29323762088987)",Sandwich Place,This spot is popular
"Maryvale, Wexford","(43.750071500000004, -79.2958491)",Lebanese bakery,"(43.74670137305754, -79.29289639281615)",Middle Eastern Restaurant,This spot is popular
"Maryvale, Wexford","(43.750071500000004, -79.2958491)",Wexford Heights Plaza,"(43.74613567457937, -79.29378248248864)",Shopping Mall,This spot is popular
"Maryvale, Wexford","(43.750071500000004, -79.2958491)",Frank's Smoke Shop,"(43.74589, -79.29494)",Smoke Shop,This spot is popular
"Maryvale, Wexford","(43.750071500000004, -79.2958491)",Scarborough Garage Door Repair,"(43.75128820404063, -79.30150777101517)",Auto Garage,This spot is popular
"Maryvale, Wexford","(43.750071500000004, -79.2958491)",Puffin Gear,"(43.75094720492973, -79.29004669189453)",Accessories Store,This spot is popular
"Maryvale, Wexford","(43.750071500000004, -79.2958491)",Sequoia Lounge,"(43.74564498729392, -79.29573737087405)",Middle Eastern Restaurant,This spot is popular
Agincourt,"(43.7942003, -79.26202940000002)",Panagio's Breakfast & Lunch,"(43.79237001092506, -79.26020325805978)",Breakfast Spot,This spot is popular
Agincourt,"(43.7942003, -79.26202940000002)",Twilight,"(43.791999483291015, -79.25858447143591)",Lounge,This spot is popular
Agincourt,"(43.7942003, -79.26202940000002)",Subway,"(43.792823261905156, -79.2596812397533)",Sandwich Place,This spot is popular
Agincourt,"(43.7942003, -79.26202940000002)",Royal Chinese Seafood Restaurant,"(43.798496, -79.262196)",Chinese Restaurant,This spot is popular
"Clarks Corners, Sullivan, Tam O'Shanter","(43.7816375, -79.3043021)",Remezzo Italian Bistro,"(43.778649, -79.308264)",Italian Restaurant,This spot is popular
"Clarks Corners, Sullivan, Tam O'Shanter","(43.7816375, -79.3043021)",The Royal Chinese Restaurant 避風塘小炒,"(43.78050473445372, -79.29884391314476)",Chinese Restaurant,This spot is popular
"Clarks Corners, Sullivan, Tam O'Shanter","(43.7816375, -79.3043021)",Eight Noodles,"(43.77823412485005, -79.30829897588661)",Noodle House,This spot is popular
"Clarks Corners, Sullivan, Tam O'Shanter","(43.7816375, -79.3043021)",Kub Khao,"(43.780437780734204, -79.2998370364667)",Thai Restaurant,This spot is popular
"Clarks Corners, Sullivan, Tam O'Shanter","(43.7816375, -79.3043021)",Little Caesars,"(43.78056271894292, -79.2986242771319)",Pizza Place,This spot is popular
"Clarks Corners, Sullivan, Tam O'Shanter","(43.7816375, -79.3043021)",Popeyes,"(43.780476, -79.29846)",Fried Chicken Joint,This spot is popular
"Clarks Corners, Sullivan, Tam O'Shanter","(43.7816375, -79.3043021)",KFC,"(43.77943993243305, -79.30337149356963)",Fast Food Restaurant,This spot is popular
"Clarks Corners, Sullivan, Tam O'Shanter","(43.7816375, -79.3043021)",Gusto Pizza,"(43.78360724036883, -79.29898327417831)",Pizza Place,This spot is popular
"Clarks Corners, Sullivan, Tam O'Shanter","(43.7816375, -79.3043021)",Rexall,"(43.78073190083844, -79.2982568317862)",Pharmacy,This spot is popular
"Agincourt North, L'Amoreaux East, Milliken, Steeles East","(43.8152522, -79.2845772)",Lickety's,"(43.81613567921463, -79.28794384002686)",Coffee Shop,This spot is popular
"Agincourt North, L'Amoreaux East, Milliken, Steeles East","(43.8152522, -79.2845772)",Port Royal Park,"(43.815477, -79.289773)",Park,This spot is popular
"Agincourt North, L'Amoreaux East, Milliken, Steeles East","(43.8152522, -79.2845772)",Milliken Public School Playground,"(43.81538282984429, -79.2898673242174)",Playground,This spot is popular
"L'Amoreaux West, Steeles West","(43.799525200000005, -79.3183887)",Mr Congee Chinese Cuisine 龍粥記,"(43.798878792587615, -79.3183345011537)",Chinese Restaurant,This spot is popular
"L'Amoreaux West, Steeles West","(43.799525200000005, -79.3183887)",Phoenix Restaurant 金鳳餐廳,"(43.79819775434163, -79.31843152382791)",Chinese Restaurant,This spot is popular
"L'Amoreaux West, Steeles West","(43.799525200000005, -79.3183887)",Price Chopper,"(43.799444969304986, -79.3185634598668)",Grocery Store,This spot is popular
"L'Amoreaux West, Steeles West","(43.799525200000005, -79.3183887)",Subway,"(43.798982701368914, -79.31883822486604)",Sandwich Place,This spot is popular
"L'Amoreaux West, Steeles West","(43.799525200000005, -79.3183887)",Tim Hortons,"(43.7982809835749, -79.31831717491156)",Coffee Shop,This spot is popular
"L'Amoreaux West, Steeles West","(43.799525200000005, -79.3183887)",Shoppers Drug Mart,"(43.79967023212875, -79.31931541731906)",Pharmacy,This spot is popular
"L'Amoreaux West, Steeles West","(43.799525200000005, -79.3183887)",KFC,"(43.7989384013184, -79.31885368338149)",Fast Food Restaurant,This spot is popular
"L'Amoreaux West, Steeles West","(43.799525200000005, -79.3183887)",Yamamoto Japanese Cuisine 山本盛世,"(43.79858925165167, -79.31855825035903)",Japanese Restaurant,This spot is popular
"L'Amoreaux West, Steeles West","(43.799525200000005, -79.3183887)",McDonald's,"(43.79888016781628, -79.31872352564541)",Fast Food Restaurant,This spot is popular
"L'Amoreaux West, Steeles West","(43.799525200000005, -79.3183887)",Pizza Pizza,"(43.79790927666095, -79.31811332702635)",Pizza Place,This spot is popular
